iter	RMSE
0	0.7938259393
1	0.780186249
2	0.7677617686
3	0.7557461839
4	0.7449071507
5	0.7346698956
6	0.7243241668
7	0.7136559406
8	0.7052193964
9	0.6969076908
10	0.6881615034
11	0.6805670745
12	0.6726968837
13	0.6657032057
14	0.6587185031
15	0.6520762784
16	0.6456485117
17	0.63967733
18	0.6335176761
19	0.6283659421
20	0.6230537609
21	0.617555475
22	0.612446065
23	0.6089420118
24	0.6037545579
25	0.5996900717
26	0.595498095
27	0.5911464784
28	0.5879085479
29	0.5844054682
30	0.5803427848
31	0.5767442279
32	0.5733549405
33	0.5700716089
34	0.5669377335
35	0.5630918892
36	0.5609142551
37	0.5584839895
38	0.5559783779
39	0.5531886775
40	0.5505381022
41	0.5475396633
42	0.5450804004
43	0.5418194707
44	0.5395593505
45	0.5374952266
46	0.5351553121
47	0.5328280855
48	0.530646976
49	0.5286113621
50	0.5271462039
51	0.5257181826
52	0.5235034633
53	0.5217599257
54	0.520226348
55	0.5184251902
56	0.5161310535
57	0.5147114595
58	0.5132484991
59	0.5122640833
60	0.5098075629
61	0.5081662744
62	0.5072515833
63	0.5059598957
64	0.5045696481
65	0.5027370102
66	0.5009122442
67	0.4989964761
68	0.4970193687
69	0.4953463764
70	0.4934039882
71	0.4927043446
72	0.4916124576
73	0.4902105212
74	0.4872371613
75	0.4862645757
76	0.4856827674
77	0.484333632
78	0.4835493202
79	0.4825248027
80	0.4817654317
81	0.4809818704
82	0.4803135396
83	0.4787939529
84	0.4773972538
85	0.4760031042
86	0.4746421448
87	0.4734406097
88	0.4722016317
89	0.4706155124
90	0.4695402871
91	0.4686900327
92	0.4676394061
93	0.4666598649
94	0.4654095662
95	0.4637287963
96	0.4624492306
97	0.4619854001
98	0.4609290211
99	0.4601992976
100	0.4592405683
101	0.4580353764
102	0.456505212
103	0.4557126887
104	0.4545340501
105	0.4534110864
106	0.452408481
107	0.4511045339
108	0.4499757309
109	0.4496913649
110	0.4490870473
111	0.4485053188
112	0.4461345344
113	0.4445332625
114	0.4434444473
115	0.4429387025
116	0.4418329
117	0.4406999161
118	0.4394953689
119	0.4389385263
120	0.4373117273
121	0.4363681887
122	0.4352557116
123	0.4342605343
124	0.4335750942
125	0.4330573886
126	0.4325865629
127	0.4319776845
128	0.4306808629
129	0.4302177479
130	0.4287034594
131	0.4273300787
132	0.4270571794
133	0.4251869712
134	0.4243241927
135	0.4230550295
136	0.4224746001
137	0.4215468702
138	0.4206477868
139	0.4194711307
140	0.418354972
141	0.417476226
142	0.4163028816
143	0.4151040437
144	0.4142358613
145	0.4133404399
146	0.4124137586
147	0.4117465353
148	0.4112603128
149	0.4105495303
150	0.4104069822
151	0.4096950494
152	0.4089820748
153	0.4080927
154	0.4077497284
155	0.4073293386
156	0.4069069833
157	0.4057779662
158	0.4051248131
159	0.4042423901
160	0.4028501663
161	0.4025177119
162	0.4014692645
163	0.401047102
164	0.4007199526
165	0.4002815727
166	0.3983445605
167	0.3968102724
168	0.3954400236
169	0.3952891614
170	0.3951836429
171	0.3945509549
172	0.3930429716
