iter	Passed	Remaining
0	50	25096
1	54	13603
2	58	9614
3	61	7588
4	65	6459
5	68	5625
6	72	5126
7	75	4648
8	78	4275
9	81	4000
10	84	3744
11	87	3576
12	90	3387
13	93	3230
14	95	3101
15	99	2997
16	102	2900
17	104	2809
18	108	2734
19	111	2667
20	113	2597
21	116	2535
22	118	2466
23	121	2414
24	124	2369
25	127	2318
26	129	2275
27	132	2232
28	136	2213
29	139	2187
30	142	2157
31	145	2129
32	149	2109
33	151	2081
34	154	2057
35	157	2033
36	161	2016
37	164	1997
38	167	1977
39	170	1960
40	173	1938
41	176	1923
42	179	1903
43	182	1891
44	186	1881
45	189	1872
46	192	1857
47	195	1839
48	198	1823
49	200	1806
50	203	1792
51	206	1778
52	209	1764
53	212	1753
54	214	1737
55	217	1724
56	219	1709
57	222	1693
58	225	1683
59	227	1669
60	230	1657
61	232	1644
62	235	1633
63	238	1622
64	241	1614
65	244	1605
66	247	1596
67	249	1586
68	252	1577
69	255	1569
70	257	1557
71	260	1549
72	263	1539
73	265	1531
74	268	1523
75	271	1516
76	274	1508
77	277	1501
78	280	1494
79	283	1486
80	285	1476
81	287	1467
82	290	1459
83	292	1450
84	295	1443
85	298	1437
86	301	1430
87	304	1425
88	307	1420
89	310	1413
90	313	1408
91	316	1403
92	319	1398
93	322	1391
94	324	1384
95	327	1379
96	330	1371
97	333	1366
98	335	1358
99	338	1353
100	341	1349
101	344	1343
102	347	1338
103	350	1333
104	353	1328
105	356	1323
106	359	1318
107	361	1311
108	363	1305
109	365	1294
110	367	1288
111	370	1282
112	372	1277
113	375	1271
114	378	1266
115	380	1260
116	383	1255
117	386	1251
118	389	1245
119	391	1240
120	394	1235
121	397	1231
122	400	1227
123	403	1224
124	406	1220
125	410	1217
126	413	1213
127	415	1208
128	418	1202
129	421	1198
130	424	1194
131	426	1188
132	428	1183
133	431	1178
134	433	1172
135	436	1168
136	439	1164
137	442	1160
138	444	1155
139	447	1150
140	450	1146
141	453	1142
142	455	1138
143	458	1134
144	461	1129
145	464	1126
146	467	1122
147	470	1118
148	472	1113
149	475	1109
150	476	1100
151	479	1096
152	481	1093
153	484	1088
154	487	1084
155	489	1079
156	492	1075
157	494	1071
158	497	1067
159	500	1062
160	502	1057
161	505	1054
162	508	1050
163	510	1046
164	513	1043
165	515	1037
166	518	1033
167	521	1029
168	523	1026
169	526	1022
170	529	1019
171	532	1015
172	535	1011
173	538	1008
174	540	1004
175	544	1002
176	547	999
177	551	997
178	554	994
179	556	990
180	559	985
181	562	982
182	564	978
183	567	975
184	570	971
185	572	967
186	575	963
187	578	959
188	580	955
189	582	951
190	585	947
191	588	943
192	591	940
193	594	937
194	597	934
195	599	930
196	602	927
197	605	923
198	608	920
199	611	917
200	614	914
201	617	911
202	621	908
203	624	905
204	627	902
205	630	899
206	632	895
207	635	892
208	638	889
209	641	885
210	644	882
211	646	878
212	648	874
213	651	870
214	653	866
215	656	862
216	659	859
217	661	856
218	664	853
219	667	849
220	670	845
221	672	842
222	675	838
223	678	835
224	681	832
225	684	829
226	686	826
227	689	823
228	692	819
229	695	816
230	697	812
231	700	809
232	703	806
233	706	802
234	708	799
235	711	796
236	714	792
237	716	789
238	719	785
239	722	782
240	725	779
241	727	775
242	730	772
243	732	768
244	735	765
245	738	762
246	741	759
247	744	756
248	746	752
249	749	749
250	752	746
251	758	746
252	761	743
253	763	739
254	766	736
255	769	733
256	771	729
257	776	728
258	779	725
259	782	722
260	785	719
261	788	716
262	791	713
263	794	709
264	796	706
265	799	703
266	802	699
267	804	696
268	806	692
269	809	689
270	811	685
271	814	682
272	817	679
273	820	676
274	823	673
275	826	670
276	828	667
277	831	663
278	833	660
279	836	657
280	838	653
281	841	650
282	844	647
283	846	643
284	849	640
285	851	637
286	854	633
287	856	630
288	859	627
289	862	624
290	864	621
291	867	617
292	869	614
293	872	611
294	874	607
295	877	605
296	880	602
297	883	599
298	886	595
299	888	592
300	891	589
301	893	586
302	896	582
303	898	579
304	901	576
305	904	573
306	907	570
307	909	567
308	912	564
309	915	561
310	918	558
311	920	554
312	923	551
313	926	548
314	929	545
315	931	542
316	934	539
317	936	536
318	939	533
319	942	530
320	945	527
321	948	524
322	951	521
323	955	518
324	958	516
325	962	513
326	965	510
327	967	507
328	970	504
329	973	501
330	976	498
331	979	495
332	981	492
333	984	489
334	986	486
335	989	482
336	991	479
337	994	476
338	997	473
339	1000	470
340	1003	467
341	1005	464
342	1008	461
343	1011	458
344	1014	455
345	1017	452
346	1019	449
347	1022	446
348	1024	443
349	1027	440
350	1030	437
351	1033	434
352	1035	431
353	1038	428
354	1041	425
355	1043	422
356	1046	419
357	1048	416
358	1051	413
359	1054	409
360	1056	406
361	1059	403
362	1062	400
363	1065	398
364	1068	395
365	1070	391
366	1073	388
367	1075	385
368	1078	382
369	1081	379
370	1083	376
371	1086	373
372	1089	371
373	1092	368
374	1095	365
375	1098	362
376	1101	359
377	1104	356
378	1107	353
379	1109	350
380	1111	347
381	1114	344
382	1117	341
383	1119	338
384	1123	335
385	1125	332
386	1128	329
387	1131	326
388	1132	323
389	1135	320
390	1138	317
391	1141	314
392	1144	311
393	1146	308
394	1148	305
395	1151	302
396	1154	299
397	1157	296
398	1160	293
399	1162	290
400	1165	287
401	1168	284
402	1171	281
403	1173	278
404	1176	275
405	1179	273
406	1182	270
407	1185	267
408	1188	264
409	1191	261
410	1193	258
411	1196	255
412	1198	252
413	1201	249
414	1204	246
415	1207	243
416	1210	240
417	1213	237
418	1215	235
419	1218	232
420	1221	229
421	1224	226
422	1226	223
423	1229	220
424	1232	217
425	1235	214
426	1238	211
427	1241	208
428	1244	205
429	1247	203
430	1247	199
431	1250	196
432	1253	193
433	1256	191
434	1259	188
435	1262	185
436	1265	182
437	1267	179
438	1270	176
439	1273	173
440	1276	170
441	1278	167
442	1281	164
443	1283	161
444	1286	158
445	1288	156
446	1291	153
447	1294	150
448	1296	147
449	1299	144
450	1302	141
451	1305	138
452	1308	135
453	1310	132
454	1313	129
455	1316	127
456	1319	124
457	1321	121
458	1324	118
459	1327	115
460	1330	112
461	1333	109
462	1336	106
463	1339	103
464	1342	101
465	1345	98
466	1347	95
467	1349	92
468	1352	89
469	1355	86
470	1357	83
471	1360	80
472	1364	77
473	1367	75
474	1370	72
475	1373	69
476	1376	66
477	1378	63
478	1381	60
479	1384	57
480	1386	54
481	1389	51
482	1391	48
483	1394	46
484	1397	43
485	1400	40
486	1403	37
487	1405	34
488	1408	31
489	1411	28
490	1414	25
491	1417	23
492	1420	20
493	1422	17
494	1426	14
495	1429	11
496	1432	8
497	1435	5
498	1437	2
499	1440	0
